,0,1,2
0,Code,Display,Definition
1, 1,Adoption/Permanent Care Info/Support,Adoption & permanent care information/support
2, 2,Aged Care Assessment,Aged care assessment
3, 3,Aged Care Information/Referral,Aged Care information/referral
4, 4,Aged Residential Care,Aged Residential Care
5, 5,Case Management for Older Persons,Case management for older persons
6, 6,Delivered Meals (Meals On Wheels),Delivered meals (meals on wheels)
7, 7,Friendly Visiting,Friendly visiting
8, 8,Home Care/Housekeeping Assistance,Home care/housekeeping assistance
9, 9,Home Maintenance and Repair,Home maintenance and repair
10, 10,Personal Alarms/Alerts,Personal alarms/alerts
11, 11,Personal Care for Older Persons,Personal care for older persons
12, 12,Planned Activity Groups,Planned activity groups
13, 13,Acupuncture,Acupuncture
14, 14,Alexander Technique Therapy,Alexander technique therapy
15, 15,Aromatherapy,Aromatherapy
16, 16,Biorhythm Services,Biorhythm services
17, 17,Bowen Therapy,Bowen therapy
18, 18,Chinese Herbal Medicine,Chinese herbal medicine
19, 19,Feldenkrais,Feldenkrais
20, 20,Homoeopathy,Homoeopathy
21, 21,Hydrotherapy,Hydrotherapy
22, 22,Hypnotherapy,Hypnotherapy
23, 23,Kinesiology,Kinesiology
24, 24,Magnetic Therapy,Magnetic therapy
25, 25,Massage Therapy,Massage therapy
26, 26,Meditation,Meditation
27, 27,Myotherapy,Myotherapy
28, 28,Naturopathy,Naturopathy
29, 29,Reflexology,Reflexology
30, 30,Reiki,Reiki
31, 31,Relaxation Therapy,Relaxation therapy
32, 32,Shiatsu,Shiatsu
33, 33,Western Herbal Medicine,Western herbal medicine
34, 34,Family Day care,Family day care
35, 35,Holiday Programs,Holiday programs
36, 36,Kindergarten Inclusion Support,Kindergarten inclusion support for children with a disability
37, 37,Kindergarten/Preschool,Kindergarten/preschool
38, 38,Long Day Child Care,Long day child care
39, 39,Occasional Child Care,Occasional child care
40, 40,Outside School Hours Care,Outside school hours care
41, 41,Children's Play Programs,Children's play programs
42, 42,Parenting/Family Support/Education,Parenting & family management support/education
43, 43,Playgroup,Playgroup
44, 44,School Nursing,School nursing
45, 45,Toy Library,Toy library
46, 46,Child Protection/Child Abuse Report,Child protection/child abuse report
47, 47,Foster Care,Foster care
48, 48,Residential/Out-of-Home Care,Residential/ out of home care
49, 49,Support - Young People Leaving Care,Support for young people leaving care
50, 50,Audiology,Audiology
51, 51,Blood Donation,Blood donation
52, 52,Chiropractic,Chiropractic
53, 53,Dietetics,Dietetics
54, 54,Family Planning,Family planning
55, 55,Health Advocacy/Liaison Service,Health advocacy/Liaison service
56, 56,Health Information/Referral,Health information/referral
57, 57,Immunization,Immunization
58, 58,Maternal & Child Health,Maternal & child health
59, 59,Nursing,Nursing
60, 60,Nutrition,Nutrition
61, 61,Occupational Therapy,Occupational therapy
62, 62,Optometry,Optometry
63, 63,Osteopathy,Osteopathy
64, 64,Pharmacy,Pharmacy
65, 65,Physiotherapy,Physiotherapy
66, 66,Podiatry,Podiatry
67, 67,Sexual Health,Sexual health
68, 68,Speech Pathology/Therapy,Speech pathology/therapy
69, 69,Bereavement Counselling,Bereavement counselling
70, 70,Crisis Counselling,Crisis counselling
71, 71,Family Counselling/Therapy,Family counselling and/or family therapy
72, 72,Family Violence Counselling,Family violence counselling
73, 73,Financial Counselling,Financial counselling
74, 74,Generalist Counselling,Generalist counselling
75, 75,Genetic Counselling,Genetic counselling
76, 76,Health Counselling,Health counselling
77, 77,Mediation,Mediation
78, 78,Problem Gambling Counselling,Problem gambling counselling
79, 79,Relationship Counselling,Relationship counselling
80, 80,Sexual Assault Counselling,Sexual assault counselling
81, 81,Trauma Counselling,Trauma counselling
82, 82,Victims of Crime Counselling,Victims of crime counselling
83, 83,Cemetery Operation,Cemetery operation
84, 84,Cremation,Cremation
85, 85,Death Service Information,Death service information
86, 86,Funeral Services,Funeral services
87, 87,Endodontic,Endodontic
88, 88,General Dental,General dental
89, 89,Oral Medicine,Oral medicine
90, 90,Oral Surgery,Oral surgery
91, 91,Orthodontic,Orthodontic
92, 92,Paediatric Dentistry,Paediatric Dentistry
93, 93,Periodontic,Periodontic
94, 94,Prosthodontic,Prosthodontic
95, 95,Acquired Brain Injury Info/Referral,Acquired brain injury information/referral
96, 96,Disability Advocacy,Disability advocacy
97, 97,Disability Aids & Equipment,Disability aids & equipment
98, 98,Disability Case Management,Disability case management
99, 99,Disability Day Programs/Activities,Disability day programs & activities
100, 100,Disability Information/Referral,Disability information/referral
101, 101,Disability Support Packages,Disability support packages
102, 102,Disability Supported Accommodation,Disability supported accommodation
103, 103,Early Childhood Intervention,Early childhood intervention
104, 104,Hearing Aids & Equipment,Hearing aids & equipment
105, 105,Drug and/or Alcohol Counselling,Drug and/or alcohol counselling
106, 106,Drug/Alcohol Information/Referral,Drug and/or alcohol information/referral
107, 107,Needle & Syringe Exchange,Needle & Syringe exchange
108, 108,Non-resid. Alcohol/Drug Treatment,Non-residential alcohol and/or drug dependence treatment
109, 109,Pharmacotherapy,Pharmacotherapy (eg. methadone) program
110, 110,Quit Program,Quit program
111, 111,Residential Alcohol/Drug Treatment,Residential alcohol and/or drug dependence treatment
112, 112,Adult/Community Education,Adult/community education
113, 113,Higher Education,Higher education
114, 114,Primary Education,Primary education
115, 115,Secondary Education,Secondary education
116, 116,Training & Vocational Education,Training & vocational education
117, 117,Emergency Medical,Emergency medical
118, 118,Employment Placement and/or Support,Employment placement and/or support
119, 119,Vocational Rehabilitation,Vocational Rehabilitation
120, 120,Work Safety/Accident Prevention,Workplace safety and/or accident prevention
121, 121,Financial Assistance,Financial assistance
122, 122,Financial Information/Advice,Financial information/advice
123, 123,Material Aid,Material aid
124, 124,General Practice,General Practice/GP (doctor)
125, 125,Accommodation Placement/Support,Accommodation placement and/or support
126, 126,Crisis/Emergency Accommodation,Crisis/emergency accommodation
